,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,1150 Folsom St #4,San Francisco,CA,94103,1149000,1.0,1.5,South of Market,1200.0,,2000.0,1.0,958.0,524.0,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/1150-Folsom-St-94103/unit-4/home/12397407,San Francisco MLS,493955,N,Y,37.7759504,-122.4092942
1,MLS Listing,,Condo/Co-op,855 Folsom St #523,San Francisco,CA,94107,1450000,2.0,2.0,Yerba Buena,1396.0,,2001.0,6.0,1039.0,681.0,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-523/home/12398115,San Francisco MLS,493750,N,Y,37.7807672,-122.4021418
2,MLS Listing,,Condo/Co-op,1015 Ashbury St #1,San Francisco,CA,94117,1798000,2.0,2.0,Buena Vista Park,1884.0,,1913.0,13.0,954.0,312.0,Active,,,http://www.redfin.com/CA/San-Francisco/1015-Ashbury-St-94117/unit-1/home/12277468,San Francisco MLS,493516,N,Y,37.7643219,-122.4463477
3,MLS Listing,,Single Family Residential,259 Wilson St,SAN FRANCISCO,CA,94112,899000,2.0,1.0,SAN FRANCISCO,880.0,2495.0,1914.0,34.0,1022.0,,Active,,,http://www.redfin.com/CA/San-Francisco/259-Wilson-St-94112/home/834893,MLSListings,ML81777625,N,Y,37.709466,-122.4620937
4,MLS Listing,,Multi-Family (2-4 Unit),2437-2441 Post St,San Francisco,CA,94115,2499000,9.0,3.0,Lower Pacific Height,4260.0,3438.0,1895.0,41.0,587.0,,Active,,,http://www.redfin.com/CA/San-Francisco/2437-Post-St-94115/home/1260982,San Francisco MLS,493030,N,Y,37.7837411,-122.4419644
5,Redfin Data,,Condo/Co-op,99 Mirabel Ave,San Francisco,CA,94110,1495000,2.0,2.0,San Francisco,1492.0,2100.0,1975.0,1.0,1002.0,350.0,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/99-Mirabel-Ave-94110/home/144063959,Coming Soon,48603,N,Y,37.7466961,-122.4150507
6,Redfin Data,,Condo/Co-op,1190 Sacramento St #3,San Francisco,CA,94108,1945000,2.0,2.0,San Francisco,1519.0,,1955.0,1.0,1280.0,1250.0,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/1190-Sacramento-St-94108/unit-3/home/12400895,Coming Soon,48782,N,Y,37.7926793,-122.4124541
7,Redfin Data,,Condo/Co-op,4125 24th St #2,San Francisco,CA,94114,895000,2.0,1.0,San Francisco,756.0,3144.0,1965.0,5.0,1184.0,300.0,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/4125-24th-St-94114/unit-2/home/28942957,Coming Soon,48499,N,Y,37.7510151,-122.4347067
8,MLS Listing,,Condo/Co-op,2870 Washington St,San Francisco,CA,94115,3349000,3.0,3.0,Pacific Heights,2550.0,,1900.0,1.0,1313.0,600.0,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/2870-Washington-St-94115/home/17583564,San Francisco MLS,494018,N,Y,37.7909003,-122.4405331
9,MLS Listing,,Single Family Residential,53 Clarendon Ave,San Francisco,CA,94114,4495000,4.0,4.0,Clarendon Heights,3500.0,4656.0,1920.0,1.0,1284.0,,Active,,,http://www.redfin.com/CA/San-Francisco/53-Clarendon-Ave-94114/home/1652905,San Francisco MLS,493915,N,Y,37.7586984,-122.4499749
