SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Single Family Residential,38818 Altura St,Fremont,CA,94536,1299777,4,3.0,Fremont,2472,7715,1977,1,526,,Pre On-Market,,,http://www.redfin.com/CA/Fremont/38818-Altura-St-94536/home/1850897,Coming Soon,48871,N,Y,37.5709179,-121.9605088
MLS Listing,,Single Family Residential,36554 Coronado Dr,Fremont,CA,94536,1090000,4,3.5,Cabrillo,1586,7555,1953,1,687,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/36554-Coronado-Dr-94536/home/1046672,Bridge MLS,40893076,N,Y,37.556945,-122.0193907
MLS Listing,,Townhouse,34189 Via Lucca,Fremont,CA,94555,1188888,4,3.5,Fremont,1969,,2013,1,604,231,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/34189-Via-Lucca-94555/home/17185173,Bridge MLS,40893059,N,Y,37.5598609,-122.0618951
MLS Listing,,Single Family Residential,40571 Creston St,Fremont,CA,94538,1150000,4,2.0,Bell Terrace,1556,6331,1961,1,739,,Active,,,http://www.redfin.com/CA/Fremont/40571-Creston-St-94538/home/170391806,Bridge MLS,40893041,N,Y,37.523934,-121.9760854
MLS Listing,,Single Family Residential,40751 creston,Fremont,CA,94538,1150000,4,2.0,Alameda,1556,6331,1961,1,,,Active,,,http://www.redfin.com/CA/Fremont/40751-Creston-St-94538/home/1110401,MetroList,20004013,N,Y,37.5231477,-121.9750157
MLS Listing,,Single Family Residential,33847 Raven Ter,Fremont,CA,94555,1160000,4,2.5,Fallbrook,1855,3150,1989,1,625,260,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/33847-Raven-Ter-94555/home/1982269,Bridge MLS,40892976,N,Y,37.5796918,-122.0461668
MLS Listing,,Condo/Co-op,4958 Conway Ter,Fremont,CA,94555,730000,2,2.0,Forest Park,840,149411,1989,1,869,345,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/4958-Conway-Ter-94555/unit-73/home/1772428,Bridge MLS,40892969,N,Y,37.564036,-122.046239
MLS Listing,,Single Family Residential,4673 NE Hampshire Way,Fremont,CA,94538,925000,3,2.0,Morrison Meadows,1402,6633,1962,1,660,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/4673-Hampshire-Way-94538/home/1378019,Bridge MLS,40892952,N,Y,37.5281694,-121.9725276
MLS Listing,,Single Family Residential,33416 Pony Loop,Fremont,CA,94555,2099000,4,4.5,Fremont,3402,5400,2016,1,617,155,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/33416-Pony-Loop-94555/home/95474208,Bridge MLS,40892919,N,Y,37.565896,-122.0638538
MLS Listing,,Single Family Residential,34191 Della Ter,Fremont,CA,94555,1099888,3,2.5,Fremont,1324,3295,1988,1,831,119,Active,January-26-2020 01:30 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/Fremont/34191-Della-Ter-94555/home/1147590,Bridge MLS,40892915,N,Y,37.5617194,-122.0586868
MLS Listing,,Single Family Residential,281 Tordo Ct,FREMONT,CA,94539,1568000,3,2.0,FREMONT,1881,7000,1974,1,834,,Active,January-25-2020 01:30 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/281-Tordo-Ct-94539/home/1487967,MLSListings,ML81779665,N,Y,37.5586925,-121.9466444
MLS Listing,,Townhouse,46922 Lundy Ter,Fremont,CA,94539,749000,2,1.5,Fremont,1018,,1981,1,736,340,Active,,,http://www.redfin.com/CA/Fremont/46922-Lundy-Ter-94539/home/1092914,San Francisco MLS,493932,N,Y,37.488774,-121.925261
MLS Listing,,Single Family Residential,2543 Abaca Way,Fremont,CA,94539,1299000,4,2.5,Mission,1828,4180,1971,2,711,40,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/2543-Abaca-Way-94539/home/1921217,Bridge MLS,40892854,N,Y,37.539255,-121.95283
MLS Listing,,Single Family Residential,5053 Hilo St,Fremont,CA,94538,899000,4,2.0,Sundale,1324,6120,1962,2,679,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/5053-Hilo-St-94538/home/1572608,Bridge MLS,40892819,N,Y,37.5249628,-121.9803025
MLS Listing,,Single Family Residential,4436 Norocco Cir,FREMONT,CA,94555,1288000,4,2.5,FREMONT,1717,4050,1982,3,750,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/4436-Norocco-Cir-94555/home/1921739,MLSListings,ML81779560,N,Y,37.5741821,-122.048298
MLS Listing,,Single Family Residential,4432 Cordova Pl,Fremont,CA,94536,1265000,4,3.0,Cabrillo,2160,9642,1965,5,586,,Active,,,http://www.redfin.com/CA/Fremont/4432-Cordova-Pl-94536/home/1949549,Bridge MLS,40892732,N,Y,37.5609015,-122.0252527
MLS Listing,,Multi-Family (2-4 Unit),37543 Wilburn Pl,FREMONT,CA,94536,1698000,8,,FREMONT,3540,10001,1964,5,480,,Active,,,http://www.redfin.com/CA/Fremont/37543-Wilburn-Pl-94536/home/1049676,MLSListings,ML81779497,N,Y,37.5501616,-122.0096199
MLS Listing,,Single Family Residential,,Fremont,CA,94555,1150000,3,2.0,Northgate,1603,6931,1980,5,717,,Active,,,http://www.redfin.com/CA/Fremont/Undisclosed-address-94555/home/1582558,Bridge MLS,40892713,N,Y,37.5761159,-122.0338009
MLS Listing,,Single Family Residential,398 L St,Fremont,CA,94536,1599000,6,4.0,Niles,3128,8034,1985,5,511,,Active,,,http://www.redfin.com/CA/Fremont/398-L-St-94536/home/1505935,Bridge MLS,40892692,N,Y,37.5725068,-121.9754155
MLS Listing,,Single Family Residential,3049 Reynolds Ct,Fremont,CA,94536,1149800,4,2.0,Brookvale,1708,6827,1972,5,673,,Active,,,http://www.redfin.com/CA/Fremont/3049-Reynolds-Ct-94536/home/1376770,Bridge MLS,40892666,N,Y,37.5667536,-122.0058224
MLS Listing,,Single Family Residential,4118 Wakefield Loop,Fremont,CA,94536,1299800,4,3.0,Cabrillo,2160,9973,1964,5,602,,Active,,,http://www.redfin.com/CA/Fremont/4118-Wakefield-Loop-94536/home/1013055,Bridge MLS,40892631,N,Y,37.561954,-122.0191686
MLS Listing,,Townhouse,2839 Casita Ter,Fremont,CA,94539,1375000,4,3.5,Mission Area,2105,,2015,6,653,280,Active,,,http://www.redfin.com/CA/Fremont/2839-Casita-Ter-94539/home/103775927,Bridge MLS,40892551,N,Y,37.5368282,-121.9528117
