SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1529 Sixth Ave,BELMONT,CA,94002,1198888,2,1.0,BELMONT,1770,6200,1951,2,677,,Active,January-25-2020 01:30 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Belmont/1529-6th-Ave-94002/home/768201,MLSListings,ML81779592,N,Y,37.5149683,-122.2716583
MLS Listing,,Single Family Residential,534 La Casa Ave,SAN MATEO,CA,94403,1888000,3,2.0,SAN MATEO,1705,5200,1955,5,1107,,Active,,,http://www.redfin.com/CA/San-Mateo/534-La-Casa-Ave-94403/home/1200954,MLSListings,ML81779510,N,Y,37.5230549,-122.3040858
MLS Listing,,Single Family Residential,830 Laurel Ave,BELMONT,CA,94002,1345000,3,1.0,BELMONT,1080,5600,1938,5,1245,,Active,,,http://www.redfin.com/CA/Belmont/830-Laurel-Ave-94002/home/1370044,MLSListings,ML81779425,N,Y,37.5208461,-122.2792344
MLS Listing,,Single Family Residential,2704 Barclay Way,BELMONT,CA,94002,1549000,4,2.0,BELMONT,1570,5000,1961,6,987,,Active,,,http://www.redfin.com/CA/Belmont/2704-Barclay-Way-94002/home/1217931,MLSListings,ML81779283,N,Y,37.5173858,-122.3107738
MLS Listing,,Multi-Family (5+ Unit),631 Masonic Way,BELMONT,CA,94002,4489000,3,,BELMONT,10072,9975,1964,16,446,,Active,,,http://www.redfin.com/CA/Belmont/631-Masonic-Way-94002/unit-1/home/1607756,MLSListings,ML81778205,N,Y,37.5223116,-122.2747376
MLS Listing,,Vacant Land,00 Lower Lock Ave,BELMONT,CA,94002,225000,,,BELMONT,,5400,,22,,,Active,,,http://www.redfin.com/CA/Belmont/Lower-Lock-Ave-94002/home/17909274,MLSListings,ML81777931,N,Y,37.516938,-122.315918
MLS Listing,,Condo/Co-op,400 Davey Glen Rd #4824,BELMONT,CA,94002,650000,1,1.0,BELMONT,725,181048,1965,72,897,493,Active,,,http://www.redfin.com/CA/Belmont/400-Davey-Glen-Rd-94002/unit-4824/home/2028160,MLSListings,ML81775171,N,Y,37.5257088,-122.2866688
MLS Listing,,Condo/Co-op,600 El Camino Real #215,BELMONT,CA,94002,888000,1,1.0,BELMONT,769,,2019,74,1155,322,Active,,,http://www.redfin.com/CA/Belmont/600-El-Camino-Real-94002/unit-215/home/169764415,MLSListings,ML81775118,N,Y,37.5235327,-122.2799876
MLS Listing,,Condo/Co-op,600 El Camino Real #202,BELMONT,CA,94002,998000,1,1.0,BELMONT,940,,2019,75,1062,329,Active,,,http://www.redfin.com/CA/Belmont/600-El-Camino-Real-94002/unit-202/home/169752249,MLSListings,ML81775075,N,Y,37.5235327,-122.2799876
MLS Listing,,Condo/Co-op,600 El Camino Real #211,BELMONT,CA,94002,1270000,2,2.0,BELMONT,1354,,2019,75,938,344,Active,,,http://www.redfin.com/CA/Belmont/600-El-Camino-Real-94002/unit-211/home/169751639,MLSListings,ML81775068,N,Y,37.5235327,-122.2799876
