SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2917 Avalon Ave,Berkeley,CA,94705,1895000,3,3.0,Claremont Court,2463,6300,1926,1,769,,Active,January-26-2020 02:00 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/2917-Avalon-Ave-94705/home/1191198,Bridge MLS,40893083,N,Y,37.8599115,-122.2482397
MLS Listing,,Single Family Residential,1887 Tunnel Rd,Berkeley,CA,94705,1949000,4,3.5,Claremont Hills,3044,6175,2017,1,640,,Active,,,http://www.redfin.com/CA/Berkeley/1887-Tunnel-Rd-94705/home/22694631,Bridge MLS,40893072,N,Y,37.8582509,-122.2224223
MLS Listing,,Single Family Residential,740 San Luis Rd,Berkeley,CA,94707,3295000,7,5.5,Berkeley Hills,5990,18990,1939,1,550,,Active,January-25-2020 02:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/740-San-Luis-Rd-94707/home/1566461,Bridge MLS,40893060,N,Y,37.8964351,-122.271902
MLS Listing,,Multi-Family (2-4 Unit),1468 Stannage Ave,Berkeley,CA,94702,1190000,5,3.0,Berkeley,2950,4000,1983,1,403,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/1468-Stannage-Ave-94702/home/1915776,Bridge MLS,40893045,N,Y,37.87682,-122.293035
MLS Listing,,Single Family Residential,17 Eucalyptus Rd,Berkeley,CA,94705,1995000,4,3.5,Claremont,2781,6240,1907,1,717,,Active,,,http://www.redfin.com/CA/Berkeley/17-Eucalyptus-Rd-94705/home/816366,Bridge MLS,40893035,N,Y,37.8520756,-122.2465335
MLS Listing,,Single Family Residential,2240 Virginia St,Berkeley,CA,94709,2395000,4,3.0,Berkeley,2169,5450,1955,1,1104,,Active,,,http://www.redfin.com/CA/Berkeley/2240-Virginia-St-94709/home/663747,Bridge MLS,40893028,N,Y,37.8772735,-122.265278
MLS Listing,,Single Family Residential,2543 Chilton Way,Berkeley,CA,94704,795000,2,1.0,Baja Elmwood,1032,2343,1915,1,770,,Active,January-26-2020 02:00 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/2543-Chilton-Way-94704/home/1822549,Bridge MLS,40893020,N,Y,37.8633983,-122.259296
MLS Listing,,Condo/Co-op,2029 CHANNING Way Unit 2A,Berkeley,CA,94704,789000,2,1.0,Downtown,804,,1995,1,981,441,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/2029-Channing-Way-94704/unit-2A/home/1915438,Bridge MLS,40893001,N,Y,37.865913,-122.2685346
MLS Listing,,Single Family Residential,780 Creston Rd,Berkeley,CA,94708,995000,3,2.0,Berkeley,1872,3200,1965,1,532,,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/780-Creston-Rd-94708/home/1964518,Bridge MLS,40892928,N,Y,37.8986555,-122.2623978
MLS Listing,,Single Family Residential,1067 65th St,Oakland,CA,94608,900000,2,2.0,Nobe,1190,4400,1922,2,756,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Oakland/1067-65th-St-94608/home/607879,Bridge MLS,40892808,N,Y,37.848418,-122.2829687
MLS Listing,,Single Family Residential,1112 CHUAUCER #2,Berkeley,CA,94702,1499000,5,5.0,Berkeley,4800,4800,1948,3,312,,Active,,,http://www.redfin.com/CA/Berkeley/1112-Chaucer-St-94702/unit-2/home/170360011,Bridge MLS,40892801,N,Y,37.8635907,-122.2895566
MLS Listing,,Multi-Family (2-4 Unit),3036 Acton St,Berkeley,CA,94702,1250000,4,3.0,South Berkeley,1865,4664,1957,5,670,,Active,,,http://www.redfin.com/CA/Berkeley/3036-Acton-St-94702/home/170342320,Bridge MLS,40892725,N,Y,37.8517773,-122.2813607
MLS Listing,,Single Family Residential,1034 Dwight Way,Berkeley,CA,94710,649000,1,1.0,West Berkeley,600,2185,1924,5,1082,,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/1034-Dwight-Way-94710/home/1608853,Bridge MLS,40892668,N,Y,37.8606675,-122.2910517
MLS Listing,,Single Family Residential,2217 Oregon St,Berkeley,CA,94705,1050000,3,1.5,Baja Elmwood,1461,4455,1906,5,719,,Active,,,http://www.redfin.com/CA/Berkeley/2217-Oregon-St-94705/home/1776920,Bridge MLS,40892627,N,Y,37.8582692,-122.2631909
MLS Listing,,Single Family Residential,6948 Norfolk Rd,Berkeley,CA,94705,1575000,4,3.5,Claremont Hills,3058,4560,2007,7,515,,Active,January-25-2020 02:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/6948-Norfolk-Rd-94705/home/1672058,Bridge MLS,40892435,N,Y,37.8589846,-122.2248049
MLS Listing,,Multi-Family (2-4 Unit),928 60Th St,Oakland,CA,94608,1095000,6,4.0,Oakland,2389,5670,1911,7,458,,Active,,,http://www.redfin.com/CA/Oakland/928-60th-St-94608/home/1820197,Bridge MLS,40892431,N,Y,37.8446068,-122.2763104
MLS Listing,,Single Family Residential,3104 Acton St,Berkeley,CA,94702,799000,2,1.0,South Berkeley,883,2650,1921,7,905,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/3104-Acton-St-94702/home/1892690,Bridge MLS,40892429,N,Y,37.8512809,-122.2811395
MLS Listing,,Condo/Co-op,1301 Bonita Ave #3,Berkeley,CA,94709,749000,1,1.0,Berkeley,942,5800,1926,7,795,125,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/1301-Bonita-Ave-94709/unit-3/home/1725078,Bridge MLS,40892417,N,Y,37.8832615,-122.2728761
MLS Listing,,Single Family Residential,1 Rock Ln,Berkeley,CA,94708,1395000,3,2.0,N Berkeley,2434,4879,1936,7,573,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/1-Rock-Ln-94708/home/1719060,Bridge MLS,40892407,N,Y,37.8953853,-122.267006
MLS Listing,,Single Family Residential,3034 Acton St,Berkeley,CA,94702,1250000,4,3.0,South Berkeley,1865,4664,1957,7,670,,Active,January-25-2020 02:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/3034-Acton-St-94702/home/658291,Bridge MLS,40892367,N,Y,37.8517985,-122.2812724
MLS Listing,,Condo/Co-op,1814 63rd St Unit A,Berkeley,CA,94703,599000,1,1.0,Berkeley Bowl,803,5400,1933,7,746,300,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/1814-63rd-St-94703/unit-A/home/651708,Bridge MLS,40892359,N,Y,37.847777,-122.2703291
MLS Listing,,Multi-Family (2-4 Unit),982 University Ave,Berkeley,CA,94710,1695000,2,2.0,Berkeley/Albany,3436,3500,1893,8,493,,Active,,,http://www.redfin.com/CA/Berkeley/982-University-Ave-94710/home/170288219,San Francisco MLS,493688,N,Y,37.868308,-122.294683
MLS Listing,,Single Family Residential,1636 Chestnut St,Berkeley,CA,94702,995000,5,2.0,North Berkeley,1946,3863,1915,8,511,,Active,January-25-2020 01:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/1636-Chestnut-St-94702/home/925967,Bridge MLS,40892295,N,Y,37.8745299,-122.288826
MLS Listing,,Single Family Residential,1404 Cypress St,Berkeley,CA,94703,1350000,3,2.0,North Berkeley,1612,3800,1925,9,837,,Active,,,http://www.redfin.com/CA/Berkeley/1404-Cypress-St-94703/home/1309699,Bridge MLS,40892229,N,Y,37.8801603,-122.2787028
MLS Listing,,Single Family Residential,488 Spruce St,Berkeley,CA,94708,1695000,5,3.5,Berkeley Hills,3172,5194,1936,9,534,,Active,January-26-2020 02:00 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/Berkeley/488-Spruce-St-94708/home/1200382,Bridge MLS,40892211,N,Y,37.9018787,-122.2709494
MLS Listing,,Single Family Residential,1474 Grand View Dr,Berkeley,CA,94705,2525000,4,3.5,Claremont Height,4436,9514,1997,11,569,,Active,,,http://www.redfin.com/CA/Berkeley/1474-Grand-View-Dr-94705/home/1224946,Bridge MLS,40892140,N,Y,37.8558257,-122.2323733
MLS Listing,,Multi-Family (2-4 Unit),1633 Stuart St,Berkeley,CA,94703,2195000,5,4.5,Berkeley,2905,5400,1965,12,756,,Active,January-23-2020 12:00 PM,January-23-2020 02:00 PM,http://www.redfin.com/CA/Berkeley/1633-Stuart-St-94703/home/1963956,Bridge MLS,40892071,N,Y,37.8575264,-122.2761775
MLS Listing,,Single Family Residential,1186 MILLER Ave,Berkeley,CA,94708,2195000,4,3.5,Berkeley Hills,3656,7650,1950,12,600,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Berkeley/1186-Miller-Ave-94708/home/705296,Bridge MLS,40892021,N,Y,37.8898433,-122.253624
MLS Listing,,Single Family Residential,1322 Carrison St,Berkeley,CA,94702,1199000,3,2.0,Berkeley,2406,4216,1915,14,498,,Active,,,http://www.redfin.com/CA/Berkeley/1322-Carrison-St-94702/home/1367370,Bridge MLS,40891825,N,Y,37.8519433,-122.2823799
MLS Listing,,Condo/Co-op,2018 9Th St Unit D,Berkeley,CA,94710,395000,1,1.0,West Berkeley,583,,1986,14,678,492,Active,,,http://www.redfin.com/CA/Berkeley/2018-Ninth-St-94710/unit-D/home/1915531,Bridge MLS,40891824,N,Y,37.8677409,-122.2944737
MLS Listing,,Single Family Residential,819 Coventry,Kensington,CA,94707,1344000,3,1.5,Upper Kensington,2161,4730,1932,14,622,,Active,,,http://www.redfin.com/CA/Kensington/819-Coventry-Rd-94707/home/1864287,Bridge MLS,40891823,N,Y,37.9028995,-122.2792787
MLS Listing,,Single Family Residential,75 Whitaker Ave,Berkeley,CA,94708,850000,3,1.0,Berkeley Hills,1210,7200,1939,14,702,,Active,,,http://www.redfin.com/CA/Berkeley/75-Whitaker-Ave-94708/home/1511256,Bridge MLS,40891762,N,Y,37.8906063,-122.2562385
MLS Listing,,Multi-Family (5+ Unit),1015 Euclid Ave,Berkeley,CA,94708,3488888,,,Berkeley,7050,8230,1913,15,495,,Active,,,http://www.redfin.com/CA/Berkeley/1015-Euclid-Ave-94708/home/1004526,Bridge MLS,40891713,N,Y,37.8913961,-122.2644804
MLS Listing,,Single Family Residential,1538 Grand Vw,Berkeley,CA,94705,2830000,4,3.5,Claremont Hills,4086,16552,2019,16,693,,Active,January-25-2020 01:00 PM,January-25-2020 05:00 PM,http://www.redfin.com/CA/Berkeley/1538-Grand-View-Dr-94705/home/170221398,Bridge MLS,40891630,N,Y,37.8553672,-122.2315175
MLS Listing,,Vacant Land,10 Garden Dr,Kensington,CA,94708,564000,,,Kensington,,7841,,16,,,Active,,,http://www.redfin.com/CA/Kensington/10-Garden-Dr-94708/home/169045118,Bridge MLS,40891581,N,Y,37.9105961,-122.2755795
MLS Listing,,Single Family Residential,1347 La Loma Ave,Berkeley,CA,94708,1499000,4,2.0,North Berkeley,1854,6000,1937,16,809,,Active,,,http://www.redfin.com/CA/Berkeley/1347-La-Loma-Ave-94708/home/1609373,Bridge MLS,40891573,N,Y,37.8840204,-122.2562385
MLS Listing,,Single Family Residential,2121 Woolsey St,BERKELEY,CA,94705,1150000,4,2.0,BERKELEY,2069,5000,1919,18,556,,Active,,,http://www.redfin.com/CA/Berkeley/2121-Woolsey-St-94705/home/632998,MLSListings,ML81778143,N,Y,37.852703,-122.2650564
