SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,24226 Rolling Ridge Ln,Hayward,CA,94541,910000,4,3.0,Fairview,1991,7001,1993,2,457,,Active,,,http://www.redfin.com/CA/Hayward/24226-Rolling-Ridge-St-94541/home/609939,Bridge MLS,40892812,N,Y,37.6735094,-122.0612616
MLS Listing,,Single Family Residential,1421 Poppy Ln,Hayward,CA,94545,835999,3,2.5,Hayward,1625,2380,2017,57,514,227,Active,,,http://www.redfin.com/CA/Hayward/1421-Poppy-Ln-94545/home/143117487,Bridge MLS,40889769,N,Y,37.6504277,-122.1166968
MLS Listing,,Single Family Residential,313 Bridgecreek Way,Hayward,CA,94544,1119000,4,3.0,Twin Bridges,2264,6989,1999,77,494,10,Active,,,http://www.redfin.com/CA/Hayward/313-Bridgecreek-Way-94544/home/1067952,Bridge MLS,40888169,N,Y,37.6242448,-122.046855
MLS Listing,,Single Family Residential,28780 Barn Rock Dr,Hayward,CA,94542,1199999,5,3.0,Prominence,3653,10575,1994,1,328,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Hayward/28780-Barn-Rock-Dr-94542/home/964700,Bridge MLS,40893100,N,Y,37.6559588,-122.0181694
MLS Listing,,Single Family Residential,2211 Beckham Way,Hayward,CA,94541,975000,4,3.0,Beckham Estates,2682,12726,1992,1,364,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Hayward/2211-Beckham-Way-94541/home/2020204,Bridge MLS,40893049,N,Y,37.670385,-122.058376
MLS Listing,,Single Family Residential,26629 Luvena Dr,Hayward,CA,94544,485000,3,1.0,Hayward,951,4565,1950,1,510,,Active,,,http://www.redfin.com/CA/Hayward/26629-Luvena-Dr-94544/home/1925559,Bridge MLS,40893037,N,Y,37.64714,-122.066972
MLS Listing,,Condo/Co-op,1318 B St #212,Hayward,CA,94541,439000,2,2.0,Central Hayward,1056,,1984,1,416,457,Active,,,http://www.redfin.com/CA/Hayward/1318-B-St-94541/unit-212/home/1947545,Bridge MLS,40892960,N,Y,37.6773442,-122.0775866
MLS Listing,,Single Family Residential,29728 Cantera Dr,HAYWARD,CA,94544,1101328,4,3.0,HAYWARD,2734,4298,2019,1,403,132,Active,,,http://www.redfin.com/CA/Hayward/29728-Cantera-Dr-94544/home/143116765,MLSListings,ML81779719,N,Y,37.6404009,-122.0481436
MLS Listing,,Single Family Residential,1856 Knox St,Castro Valley,CA,94546,830000,2,1.0,Alameda County,884,,1922,1,939,,Active,,,http://www.redfin.com/CA/Castro-Valley/1856-Knox-St-94546/home/687099,BAREIS,22001253,N,Y,37.682999,-122.075615
MLS Listing,,Condo/Co-op,25716 Spring Dr,Hayward,CA,94542,429000,2,2.0,Central Hayward,1061,,1967,1,404,180,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Hayward/25716-Spring-Dr-94542/home/12115979,Bridge MLS,40892902,N,Y,37.655465,-122.066641
