SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3330 Alameda De Las Pulgas,MENLO PARK,CA,94025,2488000,4,2.0,MENLO PARK,2020,6655,1921,5,1232,,Active,January-25-2020 01:00 PM,January-25-2020 05:00 PM,http://www.redfin.com/CA/Menlo-Park/3330-Alameda-de-las-Pulgas-94025/home/1445674,MLSListings,ML81779411,N,Y,37.4336934,-122.2056211
MLS Listing,,Single Family Residential,211 Laurel St,MENLO PARK,CA,94025,2875000,3,2.0,MENLO PARK,1870,7820,1954,5,1537,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/211-Laurel-St-94025/home/861288,MLSListings,ML81779403,N,Y,37.451035,-122.1708576
MLS Listing,,Single Family Residential,166 Encinal Ave,ATHERTON,CA,94027,6998000,6,4.5,ATHERTON,5210,40598,1953,5,1343,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Atherton/166-Encinal-Ave-94027/home/1809130,MLSListings,ML81779399,N,Y,37.4626169,-122.1861124
MLS Listing,,Condo/Co-op,101 Alma St #405,PALO ALTO,CA,94301,1848000,3,3.0,PALO ALTO,1845,,1960,5,1002,1427,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Palo-Alto/101-Alma-St-94301/unit-405/home/590960,MLSListings,ML81779393,N,Y,37.4469529,-122.1680444
MLS Listing,,Condo/Co-op,1155 Merrill St #305,MENLO PARK,CA,94025,1599000,3,2.0,MENLO PARK,1598,,2002,7,1001,738,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/1155-Merrill-St-94025/unit-305/home/1007868,MLSListings,ML81779191,N,Y,37.454694,-122.1833909
MLS Listing,,Single Family Residential,1108 Henderson Ave,MENLO PARK,CA,94025,1185888,3,1.0,MENLO PARK,1310,4720,1954,8,905,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/1108-Henderson-Ave-94025/home/1324276,MLSListings,ML81779029,N,Y,37.4729668,-122.1607901
MLS Listing,,Single Family Residential,565 Olive St,MENLO PARK,CA,94025,3988000,5,3.0,MENLO PARK,2790,10174,1952,9,1429,,Active,,,http://www.redfin.com/CA/Menlo-Park/565-Olive-St-94025/home/2058209,MLSListings,ML81778891,N,Y,37.4374281,-122.1887728
MLS Listing,,Single Family Residential,765 Cotton St,MENLO PARK,CA,94025,6788000,6,4.5,MENLO PARK,5088,10710,2003,9,1334,,Active,,,http://www.redfin.com/CA/Menlo-Park/765-Cotton-St-94025/home/1837328,MLSListings,ML81778889,N,Y,37.4401821,-122.189571
MLS Listing,,Single Family Residential,3 Helen Pl,MENLO PARK,CA,94025,4750000,5,3.5,MENLO PARK,3040,10600,1951,9,1563,,Active,,,http://www.redfin.com/CA/Menlo-Park/3-Helen-Pl-94025/home/890312,MLSListings,ML81778888,N,Y,37.4413751,-122.1858906
MLS Listing,,Single Family Residential,693 9th Ave,MENLO PARK,CA,94025,1529000,3,1.5,MENLO PARK,1260,7169,1953,12,1213,,Active,,,http://www.redfin.com/CA/Menlo-Park/693-9th-Ave-94025/home/1667773,MLSListings,ML81778775,N,Y,37.4763696,-122.1977737
MLS Listing,,Single Family Residential,623 Woodland Ave,MENLO PARK,CA,94025,2795000,3,3.0,MENLO PARK,1630,10932,1950,12,1715,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/623-Woodland-Ave-94025/home/1015753,MLSListings,ML81778714,N,Y,37.4551895,-122.1602578
MLS Listing,,Townhouse,1260 Trinity Dr,MENLO PARK,CA,94025,2295000,3,2.5,MENLO PARK,2700,2848,1986,13,850,600,Active,,,http://www.redfin.com/CA/Menlo-Park/1260-Trinity-Dr-94025/home/1214378,MLSListings,ML81778615,N,Y,37.430316,-122.213425
MLS Listing,,Condo/Co-op,675 Sharon Park Dr #143,MENLO PARK,CA,94025,1248000,3,2.0,MENLO PARK,1411,,1968,13,884,814,Active,,,http://www.redfin.com/CA/Menlo-Park/675-Sharon-Park-Dr-94025/unit-143/home/1646556,MLSListings,ML81778574,N,Y,37.422406,-122.2009073
MLS Listing,,Single Family Residential,1080 Klamath Dr,MENLO PARK,CA,94025,3888000,4,4.0,MENLO PARK,4243,15860,2006,14,916,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/1080-Klamath-Dr-94025/home/899579,MLSListings,ML81778464,N,Y,37.4253895,-122.2118055
MLS Listing,,Condo/Co-op,803 Curtis St,MENLO PARK,CA,94025,1449000,2,2.5,MENLO PARK,1218,22598,1981,20,1190,300,Active,January-25-2020 01:30 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/803-Curtis-St-94025/home/1944903,MLSListings,ML81777986,N,Y,37.450673,-122.1811684
MLS Listing,,Single Family Residential,1395 Santa Cruz Ave,MENLO PARK,CA,94025,2850000,3,1.5,MENLO PARK,1843,11990,1952,37,1546,,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/1395-Santa-Cruz-Ave-94025/home/1634166,MLSListings,ML81777444,N,Y,37.4420599,-122.1921427
MLS Listing,,Single Family Residential,1015 Laurel Ave,EAST PALO ALTO,CA,94303,1150000,5,3.0,EAST PALO ALTO,1991,6500,1953,40,578,,Active,,,http://www.redfin.com/CA/East-Palo-Alto/1015-Laurel-Ave-94303/home/1342264,MLSListings,ML81777314,N,Y,37.4690749,-122.152762
MLS Listing,,Single Family Residential,916 Hermosa Way,MENLO PARK,CA,94025,4900000,5,3.0,MENLO PARK,3300,21708,1981,40,1485,,Active,,,http://www.redfin.com/CA/Menlo-Park/916-Hermosa-Way-94025/home/1943131,MLSListings,ML81777271,N,Y,37.442355,-122.189664
MLS Listing,,Single Family Residential,1280 Lincoln Ave,PALO ALTO,CA,94301,4385000,4,4.0,PALO ALTO,3073,10062,1925,48,1427,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Palo-Alto/1280-Lincoln-Ave-94301/home/1715098,MLSListings,ML81776516,N,Y,37.4552749,-122.1467072
MLS Listing,,Single Family Residential,2098 Cedar Ave,MENLO PARK,CA,94025,3100000,4,3.0,MENLO PARK,2968,5664,1922,48,1044,,Active,,,http://www.redfin.com/CA/Menlo-Park/2098-Cedar-Ave-94025/home/1718828,MLSListings,ML81776758,N,Y,37.4347932,-122.2066851
MLS Listing,,Single Family Residential,109 Webster St,PALO ALTO,CA,94301,1400000,1,1.0,PALO ALTO,692,2177,1934,49,2023,,Active,,,http://www.redfin.com/CA/Palo-Alto/109-Webster-St-94301/home/1446170,MLSListings,ML81776715,N,Y,37.452726,-122.1626972
MLS Listing,,Multi-Family (2-4 Unit),3390 Glendale Ave,MENLO PARK,CA,94025,2125000,,,MENLO PARK,3660,6300,1978,77,581,,Active,,,http://www.redfin.com/CA/Menlo-Park/3390-Glendale-Ave-94025/home/1767512,MLSListings,ML81774787,N,Y,37.468409,-122.204522
MLS Listing,,Single Family Residential,1700 Bay Laurel Dr,MENLO PARK,CA,94025,5895000,5,2.5,MENLO PARK,3693,13146,1948,82,1596,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/1700-Bay-Laurel-Dr-94025/home/2051552,MLSListings,ML81774305,N,Y,37.4342361,-122.1868883
MLS Listing,,Single Family Residential,1866 Valparaiso Ave,MENLO PARK,CA,94025,3095000,1,1.0,MENLO PARK,400,16860,1940,89,7738,,Active,,,http://www.redfin.com/CA/Menlo-Park/1866-Valparaiso-Ave-94025/home/1222005,MLSListings,ML81773766,N,Y,37.4380945,-122.2033853
MLS Listing,,Single Family Residential,5 Brent Ct,MENLO PARK,CA,94025,3995000,4,4.5,MENLO PARK,4500,6500,1975,100,888,889,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Menlo-Park/5-Brent-Ct-94025/home/899584,MLSListings,ML81772319,N,Y,37.4250297,-122.2100322
MLS Listing,,Multi-Family (2-4 Unit),743 Roble Ave,MENLO PARK,CA,94025,3988888,8,,MENLO PARK,4340,7452,1956,100,919,,Active,,,http://www.redfin.com/CA/Menlo-Park/743-Roble-Ave-94025/home/891284,MLSListings,ML81772293,N,Y,37.4494413,-122.1807912
MLS Listing,,Single Family Residential,1290 Bay Laurel Dr,MENLO PARK,CA,94025,5395000,4,2.5,MENLO PARK,1880,20900,1948,104,2870,,Active,,,http://www.redfin.com/CA/Menlo-Park/1290-Bay-Laurel-Dr-94025/home/1408135,MLSListings,ML81772010,N,Y,37.439223,-122.1838509
MLS Listing,,Single Family Residential,452 5th Ave,REDWOOD CITY,CA,94063,1999000,8,3.0,REDWOOD CITY,2700,9000,1900,108,740,,Active,,,http://www.redfin.com/CA/Redwood-City/452-Fifth-Ave-94063/home/11894073,MLSListings,ML81771442,N,Y,37.4735868,-122.2032935
MLS Listing,,Condo/Co-op,675 Sharon Park Dr #316,MENLO PARK,CA,94025,749000,1,1.0,MENLO PARK,739,232738,1968,108,1014,439,Active,,,http://www.redfin.com/CA/Menlo-Park/675-Sharon-Park-Dr-94025/unit-316/home/1235280,MLSListings,ML81771439,N,Y,37.422406,-122.2009073
MLS Listing,,Single Family Residential,725 Evergreen St,MENLO PARK,CA,94025,3800000,4,2.5,MENLO PARK,1640,10010,1950,114,2317,,Active,January-25-2020 10:30 AM,January-25-2020 02:30 PM,http://www.redfin.com/CA/Menlo-Park/725-Evergreen-St-94025/home/888369,MLSListings,ML81770600,N,Y,37.4355293,-122.1927413
MLS Listing,,Single Family Residential,111 Baywood Ave,MENLO PARK,CA,94025,2498000,3,2.0,MENLO PARK,2459,7400,1925,117,1016,,Active,,,http://www.redfin.com/CA/Menlo-Park/111-Baywood-Ave-94025/home/1882332,MLSListings,ML81770338,N,Y,37.454353,-122.1625198
MLS Listing,,Single Family Residential,60 Gloria Cir,MENLO PARK,CA,94025,3958000,4,3.0,MENLO PARK,2960,10543,1997,119,1337,,Active,,,http://www.redfin.com/CA/Menlo-Park/60-Gloria-Cir-94025/home/1898433,MLSListings,ML81770023,N,Y,37.4589392,-122.1713454
MLS Listing,,Single Family Residential,153 & 161 Stone Pine Ln,MENLO PARK,CA,94025,3950000,4,5.0,MENLO PARK,4300,3749,1948,122,919,367,Active,,,http://www.redfin.com/CA/Menlo-Park/161-Stone-Pine-Ln-94025/home/1625171,MLSListings,ML81769658,N,Y,37.4592782,-122.1914
MLS Listing,,Single Family Residential,2845 Fordham St,EAST PALO ALTO,CA,94303,949000,3,1.0,EAST PALO ALTO,1030,5000,1953,279,921,,Active,,,http://www.redfin.com/CA/East-Palo-Alto/2845-Fordham-St-94303/home/860919,MLSListings,ML81747618,N,Y,37.4813299,-122.1353287
MLS Listing,,Single Family Residential,1039 University Ave,PALO ALTO,CA,94301,12500000,5,4.5,PALO ALTO,5617,20000,2003,349,2225,,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Palo-Alto/1039-University-Ave-94301/home/542240,MLSListings,ML81738043,N,Y,37.4552382,-122.1529394
Redfin Data,,Condo/Co-op,2140 Santa Cruz Ave Unit B105,Menlo Park,CA,94025,975000,2,2.0,Menlo Park,960,,1978,8,1016,,Pre On-Market,,,http://www.redfin.com/CA/Menlo-Park/2140-Santa-Cruz-Ave-94025/unit-B105/home/1894696,Coming Soon,48489,N,Y,37.4265285,-122.1941652
