SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,438 W Grand Ave #612,Oakland,CA,94612,799000,2,2.0,Uptown,1188,,2008,2,673,637,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Oakland/438-W-Grand-Ave-94612/unit-612/home/22683016,Bridge MLS,40892813,N,Y,37.8118317,-122.267668
MLS Listing,,Multi-Family (2-4 Unit),642 Douglas Ave,Oakland,CA,94603,499000,4,2.0,Oakland,1514,5000,1963,61,330,,Active,,,http://www.redfin.com/CA/Oakland/642-Douglas-Ave-94603/home/1142212,Bridge MLS,40889628,N,Y,37.734444,-122.181046
MLS Listing,,Multi-Family (2-4 Unit),2603 E 27th St,Oakland,CA,94601,785000,4,4.0,Alameda County,2396,3537,1944,152,328,,Active,,,http://www.redfin.com/CA/Oakland/2603-E-27th-St-94601/home/538629,BAREIS,21921894,N,Y,37.7913333,-122.2225996
MLS Listing,,Multi-Family (2-4 Unit),2637 E 16th St,Oakland,CA,94601,850000,4,4.0,Alameda County,4192,5998,1926,152,203,,Active,,,http://www.redfin.com/CA/Oakland/2637-E-16th-St-94601/home/1606572,BAREIS,21921913,N,Y,37.7824669,-122.23056
MLS Listing,,Single Family Residential,1887 Tunnel Rd,Berkeley,CA,94705,1949000,4,3.5,Claremont Hills,3044,6175,2017,1,640,,Active,,,http://www.redfin.com/CA/Berkeley/1887-Tunnel-Rd-94705/home/22694631,Bridge MLS,40893072,N,Y,37.8582509,-122.2224223
MLS Listing,,Single Family Residential,5833 Ayala Ave,Oakland,CA,94609,1995000,4,3.5,Rockridge,2265,4000,1911,1,881,,Active,January-25-2020 02:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Oakland/5833-Ayala-Ave-94609/home/1936346,Bridge MLS,40893070,N,Y,37.8449656,-122.2576122
MLS Listing,,Condo/Co-op,811 York St #205,Oakland,CA,94610,499000,1,1.0,Lakeshore/Grand,641,,1975,1,778,554,Active,January-26-2020 02:00 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/Oakland/811-York-St-94610/unit-205/home/1861385,Bridge MLS,40893056,N,Y,37.8130636,-122.2440847
MLS Listing,,Single Family Residential,17 Eucalyptus Rd,Berkeley,CA,94705,1995000,4,3.5,Claremont,2781,6240,1907,1,717,,Active,,,http://www.redfin.com/CA/Berkeley/17-Eucalyptus-Rd-94705/home/816366,Bridge MLS,40893035,N,Y,37.8520756,-122.2465335
MLS Listing,,Multi-Family (2-4 Unit),689 Apgar St,Oakland,CA,94609,900000,4,2.0,Oakland,2732,5456,1908,1,329,,Active,,,http://www.redfin.com/CA/Oakland/689-Apgar-St-94609/home/1531941,Bridge MLS,40893023,N,Y,37.828095,-122.270022
MLS Listing,,Condo/Co-op,5340 Broadway Ter #203,Oakland,CA,94618,675000,2,1.0,Upper Rockridge,953,,1971,1,708,562,Active,January-26-2020 02:00 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/Oakland/5340-Broadway-Ter-94618/unit-203/home/730697,Bridge MLS,40893007,N,Y,37.8381292,-122.2475848
