SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,48 Oak Dr,Orinda,CA,94563,2495000,4,3.5,Orinda,3990,41556,2019,2,625,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Orinda/48-Oak-Dr-94563/home/23118624,Bridge MLS,40892853,N,Y,37.8586308,-122.1662453
MLS Listing,,Vacant Land,12 Keith Dr,Orinda,CA,94563,369000,,,Orinda,,25200,,4,,,Active,,,http://www.redfin.com/CA/Orinda/12-Keith-Dr-94563/home/148747968,Bridge MLS,40892751,N,Y,37.8666999,-122.1530703
MLS Listing,,Single Family Residential,6 CULVER Ct,Orinda,CA,94563,1298000,4,2.5,Orinda,2682,21344,1960,13,484,,Active,,,http://www.redfin.com/CA/Orinda/6-Culver-Ct-94563/home/1038145,Bridge MLS,40891979,N,Y,37.8565848,-122.1676423
MLS Listing,,Single Family Residential,57 Bates,Orinda,CA,94563,1349999,4,3.0,Orinda C.C.,1932,23100,1960,13,699,,Active,,,http://www.redfin.com/CA/Orinda/57-Bates-Blvd-94563/home/1381279,Bridge MLS,40891895,N,Y,37.8859027,-122.1712124
MLS Listing,,Single Family Residential,57 Charles Hill Rd,Orinda,CA,94563,4395000,5,6.0,Charles Hill,4603,32670,2019,13,955,,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Orinda/57-Charles-Hill-Rd-94563/home/1858410,Bridge MLS,40891894,N,Y,37.9018988,-122.1667331
MLS Listing,,Vacant Land,,Orinda,CA,94563,860000,,,Orinda,,171191,,37,,,Active,,,http://www.redfin.com/CA/Orinda/Undisclosed-address-94563/home/23223037,Bridge MLS,40890818,N,Y,37.861437,-122.160935
MLS Listing,,Single Family Residential,51 Windy Creek Way,Orinda,CA,94563,2526275,5,5.0,Wilder,4930,28640,2020,40,512,529,Active,,,http://www.redfin.com/CA/Orinda/51-Windy-Creek-Way-94563/home/56909623,Bridge MLS,40890753,N,Y,37.8610204,-122.1844003
MLS Listing,,Single Family Residential,8 MORAGA Ct,Orinda,CA,94563,1995000,5,4.0,Orinda Glorietta,3450,33000,1947,68,578,,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Orinda/8-Moraga-Ct-94563/home/1802727,Bridge MLS,40889047,N,Y,37.8635697,-122.1698376
MLS Listing,,Vacant Land,6 PATRICK Ln,Orinda,CA,94563,949000,,,Orinda,,52707,,74,,0,Active,,,http://www.redfin.com/CA/Orinda/6-Patrick-Ln-94563/home/23366393,Bridge MLS,40888583,N,Y,37.87521,-122.156242
MLS Listing,,Vacant Land,0 El Caminito,Orinda,CA,94563,2195000,,,Orinda,,213008,,91,,,Active,,,http://www.redfin.com/CA/Orinda/El-Caminito-94563/home/23128568,Bridge MLS,40886776,N,Y,37.890903,-122.181055
MLS Listing,,Single Family Residential,12 Rabble Rd,Orinda,CA,94563,2675000,6,5.5,Wilder,4070,16891,2020,96,657,529,Active,,,http://www.redfin.com/CA/Orinda/12-Rabble-Rd-94563/home/23420161,Bridge MLS,40886332,N,Y,37.864405,-122.182161
MLS Listing,,Vacant Land,241 Orchard Rd,Orinda,CA,94563,299000,,,Orinda,,203425,,107,,,Active,,,http://www.redfin.com/CA/Orinda/241-Orchard-Rd-94563/home/23352149,Bridge MLS,40885008,N,Y,37.861846,-122.16265
MLS Listing,,Single Family Residential,8 Camino Lenada,Orinda,CA,94563,3800000,7,5.5,Orinda,5752,100188,1928,112,661,,Active,,,http://www.redfin.com/CA/Orinda/8-Camino-Lenada-94563/home/1358357,Bridge MLS,40884496,N,Y,37.8907111,-122.1931625
MLS Listing,,Vacant Land,55 Wilder Rd,Orinda,CA,94563,899000,,,Orinda,,17568,,117,,499,Active,,,http://www.redfin.com/CA/Orinda/55-Wilder-Rd-94563/home/169220099,Bridge MLS,40883888,N,Y,37.857451,-122.180751
MLS Listing,,Vacant Land,31 Big Leaf Rd,Orinda,CA,94563,650000,,,Orinda,,15377,,118,,499,Active,,,http://www.redfin.com/CA/Orinda/31-Bigleaf-Rd-94563/home/23420169,Bridge MLS,40883764,N,Y,37.865391,-122.182083
