SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Single Family Residential,211 Alexander Ave,Redwood City,CA,94061,1188000,2,1.0,Redwood City,720,2550,1954,203,1650,,Pre On-Market,,,http://www.redfin.com/CA/Redwood-City/211-Alexander-Ave-94061/home/1402207,Coming Soon,38353,N,Y,37.457501,-122.2242065
MLS Listing,,Single Family Residential,1725 Hull Ave,REDWOOD CITY,CA,94061,2298000,3,3.5,REDWOOD CITY,2390,9450,1951,1,962,,Active,January-25-2020 12:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/1725-Hull-Ave-94061/home/885127,MLSListings,ML81779607,N,Y,37.4531029,-122.2266333
MLS Listing,,Single Family Residential,3519 Highland Ave,REDWOOD CITY,CA,94062,1475000,3,2.5,REDWOOD CITY,1890,7750,1962,1,780,,Active,,,http://www.redfin.com/CA/Redwood-City/3519-Highland-Ave-94062/home/1144615,MLSListings,ML81779846,N,Y,37.4682836,-122.2512753
MLS Listing,,Multi-Family (2-4 Unit),1934-1936 Woodside Rd,REDWOOD CITY,CA,94061,1475000,4,,REDWOOD CITY,1544,6750,1952,1,955,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/1934-Woodside-Rd-94061/home/877965,MLSListings,ML81779814,N,Y,37.4509303,-122.2310658
MLS Listing,,Condo/Co-op,1614 Hudson #310,REDWOOD CITY,CA,94061,650000,1,1.0,REDWOOD CITY,606,,1964,1,1073,437,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/1614-Hudson-St-94061/unit-310/home/1636466,MLSListings,ML81779764,N,Y,37.4689932,-122.2245015
MLS Listing,,Condo/Co-op,1614 Hudson St #217,REDWOOD CITY,CA,94061,450000,0,1.0,REDWOOD CITY,389,,1964,1,1157,437,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/1614-Hudson-St-94061/unit-217/home/2048006,MLSListings,ML81779761,N,Y,37.4689932,-122.2245015
MLS Listing,,Condo/Co-op,1614 Hudson St #304,REDWOOD CITY,CA,94061,425000,0,1.0,REDWOOD CITY,389,,1964,1,1093,437,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/1614-Hudson-St-94061/unit-304/home/1103459,MLSListings,ML81779758,N,Y,37.4689932,-122.2245015
MLS Listing,,Single Family Residential,2015 Madison Ave,REDWOOD CITY,CA,94061,1799000,3,2.0,REDWOOD CITY,1690,6000,1961,4,1064,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/2015-Madison-Ave-94061/home/1643633,MLSListings,ML81777688,N,Y,37.4690139,-122.2439631
MLS Listing,,Single Family Residential,628 Hurlingame Ave,REDWOOD CITY,CA,94063,1298000,5,3.5,REDWOOD CITY,1550,5000,1887,4,837,,Active,,,http://www.redfin.com/CA/Redwood-City/628-Hurlingame-Ave-94063/home/1124101,MLSListings,ML81779538,N,Y,37.4799447,-122.2090347
MLS Listing,,Single Family Residential,909 Nob Hill Rd,REDWOOD CITY,CA,94061,2400000,4,2.5,REDWOOD CITY,1850,24000,1958,5,1297,,Active,,,http://www.redfin.com/CA/Redwood-City/909-Nob-Hill-Rd-94061/home/1193304,MLSListings,ML81779501,N,Y,37.4619929,-122.2514083
MLS Listing,,Single Family Residential,1093 Eden Bower Ln,REDWOOD CITY,CA,94061,2739000,3,2.0,REDWOOD CITY,2310,31000,1963,5,1186,,Active,January-25-2020 01:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Redwood-City/1093-Eden-Bower-Ln-94061/home/1371846,MLSListings,ML81779423,N,Y,37.4513451,-122.2559505
MLS Listing,,Single Family Residential,37 Nevada St,REDWOOD CITY,CA,94062,2998000,4,3.0,REDWOOD CITY,1820,9100,1940,5,1647,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Redwood-City/37-Nevada-St-94062/home/807777,MLSListings,ML81779400,N,Y,37.4812353,-122.2500345
MLS Listing,,Single Family Residential,1214 Junipero Ave,REDWOOD CITY,CA,94061,1399000,4,2.0,REDWOOD CITY,1460,4698,1954,5,958,,Active,,,http://www.redfin.com/CA/Redwood-City/1214-Junipero-Ave-94061/home/1909462,MLSListings,ML81779390,N,Y,37.4665053,-122.2369606
MLS Listing,,Single Family Residential,807 Revere Way,REDWOOD CITY,CA,94062,1349000,2,1.0,REDWOOD CITY,930,8192,1947,6,1451,,Active,,,http://www.redfin.com/CA/Emerald-Hills/807-Revere-Way-94062/home/2053527,MLSListings,ML81779381,N,Y,37.4594801,-122.2661641
MLS Listing,,Condo/Co-op,850 Boardwalk Pl,REDWOOD CITY,CA,94065,898000,2,2.0,REDWOOD CITY,850,,1987,6,1056,503,Active,,,http://www.redfin.com/CA/Redwood-City/850-Boardwalk-Pl-94065/home/2022930,MLSListings,ML81779318,N,Y,37.537142,-122.250812
MLS Listing,,Single Family Residential,35 Palomar Oaks Ln,REDWOOD CITY,CA,94062,2980000,4,4.5,REDWOOD CITY,4330,21176,2013,7,688,157,Active,,,http://www.redfin.com/CA/Redwood-City/35-Palomar-Oaks-Ln-94062/home/21841556,MLSListings,ML81779209,N,Y,37.4773404,-122.2625086
