SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,0 Fairview Ave,Richmond,CA,94805,849000,,,Richmond,,252500,,19,,,Active,,,http://www.redfin.com/CA/Richmond/Fairview-Ave-94805/home/23124551,Bridge MLS,40891474,N,Y,37.940123,-122.305681
MLS Listing,,Single Family Residential,731 Pennsylvania Ave,Richmond,CA,94801,499000,4,2.0,Iron Triangle,1330,5000,2002,1,375,,Active,,,http://www.redfin.com/CA/Richmond/731-Pennsylvania-Ave-94801/home/1520824,Bridge MLS,40893091,N,Y,37.9427911,-122.3619167
MLS Listing,,Single Family Residential,261 S 42Nd St,Richmond,CA,94804,450000,3,1.5,Richmond,1082,3700,1967,1,416,,Active,,,http://www.redfin.com/CA/Richmond/261-S-42nd-St-94804/home/1156034,Bridge MLS,40893066,N,Y,37.9282971,-122.3302154
MLS Listing,,Single Family Residential,3631 Chanslor Ave,Richmond,CA,94805,489950,4,2.0,Richmond,1528,5000,1950,1,321,,Active,,,http://www.redfin.com/CA/Richmond/3631-Chanslor-Ave-94805/home/1165266,Bridge MLS,40893064,N,Y,37.9325939,-122.334865
MLS Listing,,Condo/Co-op,5306 Ridgeview Cir #4,El Sobrante,CA,94803,252000,1,1.0,El Sobrante,611,,1978,1,412,441,Active,January-26-2020 02:00 PM,January-26-2020 04:30 PM,http://www.redfin.com/CA/El-Sobrante/5306-Ridgeview-Cir-94803/unit-4/home/1132079,Bridge MLS,40892875,N,Y,37.959885,-122.2852582
MLS Listing,,Single Family Residential,2641 Yuba St,El Cerrito,CA,94530,899000,4,3.5,El Cerrito,8360,,1955,2,108,,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/El-Cerrito/2641-Yuba-St-94530/home/1133854,San Francisco MLS,493919,N,Y,37.9379259,-122.3182143
MLS Listing,,Townhouse,2600 Giant Rd #33,San Pablo,CA,94806,340000,2,2.0,San Pablo,1121,1528,1984,2,303,345,Active,,,http://www.redfin.com/CA/San-Pablo/2600-Giant-Rd-94806/unit-33/home/598756,Bridge MLS,40892869,N,Y,37.969199,-122.3548471
MLS Listing,,Single Family Residential,,Richmond,CA,94801,799000,3,2.0,Point Richmond,2028,4400,1954,2,394,,Active,,,http://www.redfin.com/CA/Richmond/Undisclosed-address-94801/home/837962,Bridge MLS,40892818,N,Y,37.9235892,-122.3867929
MLS Listing,,Condo/Co-op,215 Marina Lakes Dr,Richmond,CA,94804,499000,2,2.0,Marina Bay,1007,2124,1992,2,496,419,Active,,,http://www.redfin.com/CA/Richmond/215-Marina-Lakes-Dr-94804/home/2109754,Bridge MLS,40892814,N,Y,37.9343128,-122.3563438
MLS Listing,,Single Family Residential,1328 Pelican Way,Point Richmond,CA,94801,1995000,4,4.0,Contra Costa,3416,5663,2006,5,584,108,Active,,,http://www.redfin.com/CA/Richmond/1328-Pelican-Way-94801/home/12114776,BAREIS,22001084,N,Y,37.9102315,-122.380685
MLS Listing,,Single Family Residential,3918 Center Ave,Richmond,CA,94804,399000,2,1.0,Walls Harbor Ctr,804,5000,1943,5,496,,Active,,,http://www.redfin.com/CA/Richmond/3918-Center-Ave-94804/home/1351081,Bridge MLS,40892726,N,Y,37.93,-122.3322967
MLS Listing,,Single Family Residential,6094 Ralston Ave,Richmond,CA,94805,799000,4,3.0,Richmond Heights,2541,6000,1963,5,314,,Active,January-25-2020 02:00 PM,January-25-2020 05:00 PM,http://www.redfin.com/CA/Richmond/6094-Ralston-Ave-94805/home/1803896,Bridge MLS,40892701,N,Y,37.9457933,-122.3200079
MLS Listing,,Multi-Family (2-4 Unit),1636 4th St,RICHMOND,CA,94801,679000,7,,RICHMOND,2020,5000,1943,5,336,,Active,,,http://www.redfin.com/CA/Richmond/1636-4th-St-94801/home/1097226,MLSListings,ML81779454,N,Y,37.956874,-122.3649269
MLS Listing,,Single Family Residential,5308 Woodgate Ct,Richmond,CA,94803,849000,4,3.0,Carriage Hills S,3137,20125,1990,5,271,65,Active,,,http://www.redfin.com/CA/Richmond/5308-Woodgate-Ct-94803/home/1128602,Bridge MLS,40892662,N,Y,37.9590865,-122.2462898
MLS Listing,,Single Family Residential,547 S 17th St,Richmond,CA,94804,499000,3,2.0,Coronado,1294,4750,1961,6,386,,Active,,,http://www.redfin.com/CA/Richmond/547-S-17th-St-94804/home/1816557,Bridge MLS,40892596,N,Y,37.9241885,-122.3532839
MLS Listing,,Condo/Co-op,51 Schooner Ct,Richmond,CA,94804,379000,1,1.0,Contra Costa,732,2143,1986,6,518,423,Active,January-25-2020 02:00 AM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Richmond/51-Schooner-Ct-94804/home/12129415,BAREIS,22000610,N,Y,37.916828,-122.351837
MLS Listing,,Single Family Residential,1849 Carlson Blvd,Richmond,CA,94804,719900,3,1.0,Richmond Annex,1315,4784,1941,6,547,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Richmond/1849-Carlson-Blvd-94804/home/1148352,Bridge MLS,40892512,N,Y,37.909117,-122.312634
MLS Listing,,Single Family Residential,1330 26Th St,Richmond,CA,94806,619900,3,2.0,Ne Richmond,1330,5200,1906,6,466,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Richmond/1330-26th-St-94806/home/1192979,Bridge MLS,40892484,N,Y,37.953292,-122.343455
MLS Listing,,Single Family Residential,1243 Battery,Richmond,CA,94801,544900,3,3.0,Richmond Flats,1748,2500,2019,7,312,,Active,,,http://www.redfin.com/CA/Richmond/1243-Battery-St-94801/home/23401146,Bridge MLS,40892465,N,Y,37.95142,-122.370937
MLS Listing,,Condo/Co-op,20 6Th St Unit B,Richmond,CA,94801,299000,2,1.5,Richmond,903,,2005,7,331,260,Active,,,http://www.redfin.com/CA/Richmond/20-6th-St-94801/unit-B/home/161044549,Bridge MLS,40892405,N,Y,37.931661,-122.363583
MLS Listing,,Single Family Residential,,Richmond,CA,94801,300000,2,1.0,North Richmond,834,7500,1906,7,360,,Active,,,http://www.redfin.com/CA/Richmond/Undisclosed-address-94801/home/1587048,Bridge MLS,40892384,N,Y,37.9585472,-122.362625
MLS Listing,,Vacant Land,125 Lawson Rd,Kensington,CA,94707,775000,,,Kensington,,6300,,8,,,Active,,,http://www.redfin.com/CA/Kensington/125-Lawson-Rd-94707/home/170296936,Bridge MLS,40892340,N,Y,37.9168253,-122.2805979
MLS Listing,,Single Family Residential,956 Wilson Ave,Richmond,CA,94805,465000,2,1.0,Ne Richmond,732,2500,1953,8,635,,Active,January-26-2020 01:30 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Richmond/956-Wilson-Ave-94805/home/706732,Bridge MLS,40892339,N,Y,37.9462635,-122.3309793
MLS Listing,,Multi-Family (2-4 Unit),1622 Monterey St,Richmond,CA,94804,555000,2,2.0,Richmond,1250,4900,1944,8,444,,Active,,,http://www.redfin.com/CA/Richmond/1622-Monterey-St-94804/unit-1624/home/743147,Bridge MLS,40892338,N,Y,37.9083958,-122.3186429
MLS Listing,,Single Family Residential,850 Yuba St,Richmond,CA,94805,499000,3,1.0,Richmond View,1080,5750,1947,8,462,,Active,,,http://www.redfin.com/CA/Richmond/850-Yuba-St-94805/home/1463107,Bridge MLS,40892336,N,Y,37.9468959,-122.3222886
