SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,16314 Ridgehaven Dr #303,SAN LEANDRO,CA,94578,785950,4,3.5,SAN LEANDRO,1771,7117,2019,1,444,316,Active,,,http://www.redfin.com/CA/San-Leandro/16314-Ridgehaven-Dr-94578/unit-303/home/170213052,MLSListings,ML81779856,N,Y,37.701481,-122.107275
MLS Listing,,Townhouse,16318 Ridgehaven Dr #401,SAN LEANDRO,CA,94578,779950,4,3.5,SAN LEANDRO,1918,6352,2019,1,407,316,Active,,,http://www.redfin.com/CA/San-Leandro/16318-Ridgehaven-Dr-94578/unit-401/home/170301923,MLSListings,ML81779837,N,Y,37.701481,-122.107275
MLS Listing,,Single Family Residential,556 Tudor Rd,San Leandro,CA,94577,675999,3,2.0,Davis Tract,1224,4770,1948,1,552,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/556-Tudor-Rd-94577/home/767118,Bridge MLS,40893013,N,Y,37.722996,-122.184516
MLS Listing,,Single Family Residential,2003 EVELETH Ave,San Leandro,CA,94577,699888,3,3.0,Alameda County,1248,5650,1952,1,561,,Active,,,http://www.redfin.com/CA/San-Leandro/2003-Eveleth-Ave-94577/home/1973609,Bridge MLS,40892990,N,Y,37.7141233,-122.1628524
MLS Listing,,Single Family Residential,110 San Leandro Blvd,San Leandro,CA,94577,384950,2,1.0,Farrelly Pond,656,701,1925,1,587,,Active,,,http://www.redfin.com/CA/San-Leandro/110-San-Leandro-Blvd-94577/home/17187936,Bridge MLS,40892906,N,Y,37.731972,-122.170178
MLS Listing,,Single Family Residential,14620 Saturn Dr,San Leandro,CA,94578,649000,3,2.0,Hillcrest Knolls,1640,4872,1959,1,396,,Active,,,http://www.redfin.com/CA/San-Leandro/14620-Saturn-Dr-94578/home/1292401,Bridge MLS,40892877,N,Y,37.7135987,-122.1286741
MLS Listing,,Single Family Residential,16856 Melody Way,San Leandro,CA,94578,848950,3,1.0,Ashland,1160,6316,1945,1,732,,Active,,,http://www.redfin.com/CA/San-Leandro/16856-Melody-Way-94578/home/122533897,Bridge MLS,40892876,N,Y,37.690776,-122.10851
MLS Listing,,Single Family Residential,589 Muscari St,San Leandro,CA,94578,1200000,5,4.0,Alameda County,3074,5170,2003,1,390,,Active,January-25-2020 12:00 PM,January-25-2020 02:30 PM,http://www.redfin.com/CA/San-Leandro/589-Muscari-St-94578/home/1538680,Bridge MLS,40892873,N,Y,37.7026565,-122.1383897
MLS Listing,,Single Family Residential,969 Alice Ave,San Leandro,CA,94577,799000,4,2.5,Broadmoor,1744,4480,1949,2,458,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/969-Alice-Ave-94577/home/757771,Bridge MLS,40892857,N,Y,37.7380207,-122.146064
MLS Listing,,Single Family Residential,1657 Renaissance Ln,San Leandro,CA,94578,699000,4,2.5,Alameda County,1708,2350,2004,3,409,150,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/1657-Renaissance-Ln-94578/home/1740904,Bridge MLS,40892788,N,Y,37.7015856,-122.1143874
