SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3708 Dundale Dr,SAN JOSE,CA,95121,850000,3,2.0,SAN JOSE,1586,7273,1978,7,536,,Active,,,http://www.redfin.com/CA/San-Jose/3708-Dundale-Dr-95121/home/899151,MLSListings,ML81779230,N,Y,37.2970289,-121.8145122
MLS Listing,,Single Family Residential,6032 Golden Vista Dr,SAN JOSE,CA,95123,1189000,4,2.5,SAN JOSE,2165,2306,2015,134,549,238,Active,,,http://www.redfin.com/CA/San-Jose/6032-Golden-Vista-Dr-95123/home/69365129,MLSListings,ML81768052,N,Y,37.2437324,-121.7967866
Redfin Data,,Condo/Co-op,144 S 3rd St #526,SAN JOSE,CA,95112,795000,2,2.0,SAN JOSE,1421,1537,1997,1,559,,Pre On-Market,,,http://www.redfin.com/CA/San-Jose/144-S-3rd-St-95112/unit-526/home/1089865,Coming Soon,48771,N,Y,37.3346801,-121.8861555
Redfin Data,,Single Family Residential,6974 Avenida Rotella,San Jose,CA,95139,899888,3,2.0,San Jose,1308,6000,1976,1,688,,Pre On-Market,,,http://www.redfin.com/CA/San-Jose/6974-Avenida-Rotella-95139/home/1171045,Coming Soon,48640,N,Y,37.2342506,-121.7692091
Redfin Data,,Condo/Co-op,1550 Technology Dr #1035,San Jose,CA,95110,799777,2,2.0,San Jose,1133,5227,2005,19,706,,Pre On-Market,,,http://www.redfin.com/CA/San-Jose/1550-Technology-Dr-95110/unit-1035/home/2122501,Coming Soon,48037,N,Y,37.3635367,-121.9136888
MLS Listing,,Single Family Residential,903 Sapphire Ct,SAN JOSE,CA,95136,959999,4,2.0,SAN JOSE,1791,7984,1970,1,536,,Active,,,http://www.redfin.com/CA/San-Jose/903-Sapphire-Ct-95136/home/1252575,MLSListings,ML81779883,N,Y,37.2597548,-121.8636216
MLS Listing,,Single Family Residential,1122 Silver Oak Ct,SAN JOSE,CA,95120,758888,2,2.0,SAN JOSE,1299,2394,1975,1,584,518,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Jose/1122-Silver-Oak-Ct-95120/home/576018,MLSListings,ML81779875,N,Y,37.227481,-121.868679
MLS Listing,,Condo/Co-op,97 E Saint James St #24,SAN JOSE,CA,95112,549000,1,1.0,SAN JOSE,765,,1986,1,718,425,Active,January-25-2020 01:30 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Jose/97-E-St-James-St-95112/unit-24/home/870778,MLSListings,ML81779872,N,Y,37.3402438,-121.891005
MLS Listing,,Single Family Residential,5196 Derek Dr,SAN JOSE,CA,95136,928888,4,2.0,SAN JOSE,1495,6727,1972,1,621,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Jose/5196-Derek-Dr-95136/home/1491866,MLSListings,ML81779870,N,Y,37.2590581,-121.8254569
MLS Listing,,Condo/Co-op,2309 Saidel Dr #4,SAN JOSE,CA,95124,580000,2,1.0,SAN JOSE,798,,1973,1,727,350,Active,January-25-2020 01:30 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/San-Jose/2309-Saidel-Dr-95124/unit-4/home/756801,MLSListings,ML81779825,N,Y,37.2521795,-121.9416668
MLS Listing,,Single Family Residential,5881/5883 El Dori Dr,SAN JOSE,CA,95123,1325000,5,4.0,SAN JOSE,2414,6839,1969,1,549,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Jose/5883-El-Dori-Dr-95123/home/170372922,MLSListings,ML81779863,N,Y,37.2456564,-121.8641236
MLS Listing,,Single Family Residential,1621 Fairlawn Ave,SAN JOSE,CA,95125,1649999,5,3.0,SAN JOSE,2245,8961,1959,1,735,,Active,January-26-2020 01:00 PM,January-26-2020 05:00 PM,http://www.redfin.com/CA/San-Jose/1621-Fairlawn-Ave-95125/home/852809,MLSListings,ML81779860,N,Y,37.2813086,-121.9040405
MLS Listing,,Single Family Residential,1385 Dentwood Dr,SAN JOSE,CA,95118,899000,3,2.0,SAN JOSE,1508,7205,1960,1,596,,Active,January-23-2020 05:00 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Jose/1385-Dentwood-Dr-95118/home/1238702,MLSListings,ML81779853,N,Y,37.2509305,-121.88968
MLS Listing,,Single Family Residential,998 Patricia Way,SAN JOSE,CA,95125,1488000,3,2.0,SAN JOSE,1483,5709,1941,1,1003,,Active,February-1-2020 01:00 PM,February-1-2020 04:00 PM,http://www.redfin.com/CA/San-Jose/998-Patricia-Way-95125/home/1857137,MLSListings,ML81779832,N,Y,37.3103681,-121.9003061
MLS Listing,,Condo/Co-op,5525 Cribari Circle Cir,SAN JOSE,CA,95135,475000,2,2.0,SAN JOSE,1223,10171,1968,1,388,773,Active,,,http://www.redfin.com/CA/San-Jose/5525-Cribari-Cir-95135/home/1169972,MLSListings,ML81778646,N,Y,37.2928799,-121.756112
MLS Listing,,Townhouse,5448 Colony Field Dr,SAN JOSE,CA,95123,695000,2,2.5,SAN JOSE,1294,949,1984,1,537,450,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Jose/5448-Colony-Field-Dr-95123/home/1479578,MLSListings,ML81779834,N,Y,37.256534,-121.842739
