SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,501 Starboard Dr,SAN MATEO,CA,94404,1449000,4,2.5,SAN MATEO,1860,2375,1967,1,779,247,Active,,,http://www.redfin.com/CA/San-Mateo/501-Starboard-Dr-94404/home/2051231,MLSListings,ML81779906,N,Y,37.5688377,-122.2896452
MLS Listing,,Single Family Residential,617 W Poplar Ave,SAN MATEO,CA,94402,2898000,4,2.5,SAN MATEO,2620,11100,1924,1,1106,,Active,January-24-2020 05:00 PM,January-24-2020 07:00 PM,http://www.redfin.com/CA/San-Mateo/617-W-Poplar-Ave-94402/home/2052132,MLSListings,ML81779901,N,Y,37.5631749,-122.3488566
MLS Listing,,Condo/Co-op,555 Laurel Ave #110,SAN MATEO,CA,94401,1778000,2,2.5,SAN MATEO,2070,,1980,1,859,976,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Mateo/555-Laurel-Ave-94401/unit-110/home/1778649,MLSListings,ML81779791,N,Y,37.563388,-122.3211304
MLS Listing,,Single Family Residential,2203 Portsmouth Way,SAN MATEO,CA,94403,1398000,4,2.0,SAN MATEO,1510,7000,1956,1,926,30,Active,January-25-2020 01:30 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Mateo/2203-Portsmouth-Way-94403/home/740718,MLSListings,ML81779728,N,Y,37.5500675,-122.2937207
MLS Listing,,Multi-Family (2-4 Unit),600 9th Ave,SAN MATEO,CA,94402,2595000,5,,SAN MATEO,4110,9372,1975,1,631,,Active,,,http://www.redfin.com/CA/San-Mateo/600-9th-Ave-94402/home/706639,MLSListings,ML81779631,N,Y,37.563075,-122.315314
MLS Listing,,Single Family Residential,534 La Casa Ave,SAN MATEO,CA,94403,1888000,3,2.0,SAN MATEO,1705,5200,1955,5,1107,,Active,,,http://www.redfin.com/CA/San-Mateo/534-La-Casa-Ave-94403/home/1200954,MLSListings,ML81779510,N,Y,37.5230549,-122.3040858
MLS Listing,,Condo/Co-op,58 N El Camino Real #208,SAN MATEO,CA,94401,978000,2,2.0,SAN MATEO,1150,,1979,5,850,565,Active,,,http://www.redfin.com/CA/San-Mateo/58-N-El-Camino-Real-94401/unit-208/home/1216630,MLSListings,ML81779499,N,Y,37.5666552,-122.3286921
MLS Listing,,Single Family Residential,189 41st Ave,SAN MATEO,CA,94403,1398000,2,1.5,SAN MATEO,1291,5025,1940,5,1083,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Mateo/189-41st-Ave-94403/home/1515156,MLSListings,ML81779493,N,Y,37.5284185,-122.2955811
MLS Listing,,Single Family Residential,3518 Branson Dr,SAN MATEO,CA,94403,1275000,3,2.0,SAN MATEO,1480,5000,1948,5,861,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Mateo/3518-Branson-Dr-94403/home/1791946,MLSListings,ML81779485,N,Y,37.5410588,-122.2860127
MLS Listing,,Single Family Residential,240 - 242 N Delaware St,SAN MATEO,CA,94401,1499000,4,3.0,SAN MATEO,2062,6050,1902,5,727,,Active,January-25-2020 01:30 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/San-Mateo/240-N-Delaware-St-94401/home/1994771,MLSListings,ML81779432,N,Y,37.5733033,-122.3264957
