SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Single Family Residential,4457 Queensboro Way,Union City,CA,94587,799777,3,2.0,Union City,1120,5000,1970,2,714,,Pre On-Market,,,http://www.redfin.com/CA/Union-City/4457-Queensboro-Way-94587/home/1262695,Coming Soon,48684,N,Y,37.5886296,-122.0778191
MLS Listing,,Single Family Residential,341 Monaco Ave,Union City,CA,94587,888888,4,2.0,7 Hills,1584,5475,1963,1,561,,Active,,,http://www.redfin.com/CA/Union-City/341-Monaco-Ave-94587/home/1418467,Bridge MLS,40893019,N,Y,37.5951939,-122.0020692
MLS Listing,,Single Family Residential,528 Jonathan Way,Union City,CA,94587-1416,719950,3,3.0,Union City,1376,7140,1958,1,523,,Active,January-25-2020 12:00 AM,January-25-2020 11:59 PM,http://www.redfin.com/CA/Union-City/528-Jonathan-Way-94587/home/1978539,Bridge MLS,40892981,N,Y,37.6084529,-122.0218998
MLS Listing,,Condo/Co-op,2930 Flint St #103,Union City,CA,94587,558000,2,2.0,Sugar Springs,908,,1986,1,615,270,Active,,,http://www.redfin.com/CA/Union-City/2930-Flint-St-94587/unit-103/home/1019455,Bridge MLS,40892959,N,Y,37.6039495,-122.0701511
MLS Listing,,Townhouse,33487 Alvarado Niles Rd,UNION CITY,CA,94587,966595,4,3.5,UNION CITY,2129,1513,2020,2,454,334,Active,January-25-2020 11:00 AM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Union-City/33487-Alvarado-Niles-Rd-94587/home/168821599,MLSListings,ML81779602,N,Y,37.5908475,-122.0366028
MLS Listing,,Single Family Residential,2457 Cameron Dr,Union City,CA,94587,925000,3,2.0,Westview Estates,1720,6200,1968,5,538,,Active,,,http://www.redfin.com/CA/Union-City/2457-Cameron-Dr-94587/home/991576,Bridge MLS,40892672,N,Y,37.6007207,-122.0541362
MLS Listing,,Single Family Residential,5042 Anaheim Loop,UNION CITY,CA,94587,949000,3,2.0,UNION CITY,1268,8144,1980,7,748,,Active,,,http://www.redfin.com/CA/Union-City/5042-Anaheim-Loop-94587/home/1092271,MLSListings,ML81779193,N,Y,37.5699647,-122.0753334
MLS Listing,,Single Family Residential,32840 Bluebird Loop,Fremont,CA,94555,950000,2,2.0,Ponderosa Cntry,1191,4086,1978,7,798,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Fremont/32840-Bluebird-Loop-94555/home/1830268,Bridge MLS,40892365,N,Y,37.5843494,-122.0614392
MLS Listing,,Condo/Co-op,215 Galano Plz,Union City,CA,94587,420000,2,1.0,Mission Village,710,,1985,8,592,315,Active,,,http://www.redfin.com/CA/Union-City/215-Galano-Plz-94587/unit-94/home/1875572,Bridge MLS,40892334,N,Y,37.5932559,-122.003673
MLS Listing,,Single Family Residential,33038 Marsh Hawk Ct,Union City,CA,94587-3147,898888,4,2.0,Union City,1544,7107,1976,8,582,,Active,,,http://www.redfin.com/CA/Union-City/33038-Marsh-Hawk-Ct-94587/home/1029666,Bridge MLS,40892330,N,Y,37.5900853,-122.045703
MLS Listing,,Condo/Co-op,4909 Bridgepointe Pl,Union City,CA,94587,549999,3,1.5,Bridgepointe,1154,,1985,13,477,431,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Union-City/4909-Bridgepointe-Pl-94587/unit-101/home/1140390,Bridge MLS,40891961,N,Y,37.567344,-122.068951
MLS Listing,,Condo/Co-op,35550 Monterra Ter #203,UNION CITY,CA,94587,420000,1,1.0,UNION CITY,695,,2001,14,604,499,Active,,,http://www.redfin.com/CA/Union-City/35550-Monterra-Ter-94587/unit-203/home/707832,MLSListings,ML81778535,N,Y,37.5857464,-122.011706
MLS Listing,,Townhouse,4505 Via La Paz,Union City,CA,94587,598000,3,1.5,El Dorado,1298,1600,1970,14,461,255,Active,,,http://www.redfin.com/CA/Union-City/4505-Via-La-Paz-94587/home/1037969,Bridge MLS,40891862,N,Y,37.58898,-122.079093
MLS Listing,,Single Family Residential,33103 8Th St,Union City,CA,94587,725000,3,2.0,Union City,1383,5000,1950,16,524,,Active,January-25-2020 01:30 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Union-City/33103-8th-St-94587/home/1921342,Bridge MLS,40891648,N,Y,37.6047795,-122.0274286
MLS Listing,,Mobile/Manufactured Home,180 Kona Cir,Union City,CA,94587,138000,2,2.0,Union City,1344,,,23,103,,Active,,,http://www.redfin.com/CA/Union-City/180-Kona-Cir-94587/home/126934357,Bridge MLS,40891264,N,Y,37.5889874,-122.0492049
MLS Listing,,Single Family Residential,3170 San Angelo Way,UNION CITY,CA,94587,1099000,6,3.0,UNION CITY,1955,5500,1968,44,562,,Active,,,http://www.redfin.com/CA/Union-City/3170-San-Angelo-Way-94587/home/1034185,MLSListings,ML81777040,N,Y,37.5952647,-122.0664111
MLS Listing,,Vacant Land,4451 Horner St,Union City,CA,94587,499888,,,Union City,,7500,,70,,,Active,,,http://www.redfin.com/CA/Union-City/4451-Horner-St-94587/home/1031453,Bridge MLS,40888797,N,Y,37.5956935,-122.0859859
MLS Listing,,Townhouse,4246 miramonte,Union City,CA,94587,579000,3,2.0,Alvarado Village,1298,1520,1972,79,446,250,Active,,,http://www.redfin.com/CA/Union-City/4246-Miramonte-Way-94587/home/1036740,Bridge MLS,40888052,N,Y,37.591763,-122.076659
MLS Listing,,Multi-Family (5+ Unit),4312 Dyer St,Union City,CA,94587,6700000,,,Union City,12000,34000,2011,90,558,,Active,,,http://www.redfin.com/CA/Union-City/4312-Dyer-St-94587/home/21839716,Bridge MLS,40886957,N,Y,37.586421,-122.071406
MLS Listing,,Condo/Co-op,35520 Monterra Ter #203,Union City,CA,94587,434999,1,1.0,Monte Vista,732,,2001,91,594,505,Active,,,http://www.redfin.com/CA/Union-City/35520-Monterra-Ter-94587/unit-203/home/1261540,Bridge MLS,40886846,N,Y,37.5851169,-122.011261
MLS Listing,,Vacant Land,32153 Bernice Way,Hayward,CA,94544,125000,,,Fairway Park,,8327,,98,,,Active,,,http://www.redfin.com/CA/Hayward/32153-Bernice-Way-94544/home/22694472,Bridge MLS,40886112,N,Y,37.615699,-122.026696
MLS Listing,,Condo/Co-op,4972 Bridgepointe Pl,Union City,CA,94587,499000,2,1.5,Bridgepointe,888,,1985,105,562,378,Active,,,http://www.redfin.com/CA/Union-City/4972-Bridgepointe-Pl-94587/unit-68/home/1859353,Bridge MLS,40885200,N,Y,37.566625,-122.06893
MLS Listing,,Single Family Residential,312 Riviera,Union City,CA,94587,998000,3,2.0,Seven Hill,1744,6155,1978,122,572,,Active,,,http://www.redfin.com/CA/Union-City/312-Riviera-Dr-94587/home/843685,Bridge MLS,40883262,N,Y,37.594016,-122.0011365
MLS Listing,,Vacant Land,467 Riviera Dr,Union City,CA,94587,599988,,,Union City,,48000,,223,,,Active,,,http://www.redfin.com/CA/Union-City/467-Riviera-Dr-94587/home/22696682,Bridge MLS,40859792,N,Y,37.597557,-121.998251
MLS Listing,,Single Family Residential,1207 I St,Union City,CA,94587,859000,4,2.0,Decoto,1281,11037,1928,260,671,,Active,,,http://www.redfin.com/CA/Union-City/1207-I-St-94587/home/1317603,Bridge MLS,40859438,N,Y,37.5948444,-122.0225437
New Construction Home,,Townhouse,33497 Alvarado Niles Rd,Union City,CA,94587,990667,4,3.5,Monarch at Soares Ranch,2129,,2020,7,465,,Active,,,http://www.redfin.com/CA/Union-City/33497-Alvarado-Niles-Rd-94587/home/168821606,NewHomeSource.com,1799126,N,Y,37.5908,-122.0366
New Construction Plan,,Townhouse,Residence 5E,San Leandro,CA,94578,908880,3,3.5,Monarch at Soares Ranch,1980,,,,459,,Active,,,http://www.redfin.com/CA/San-Leandro/Monarch-at-Soares-Ranch/Residence-5E/home/146993398,NewHomeSource.com,Plan-101582835,N,Y,37.5908,-122.0366
