,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,shortesttime,BEDS,BATHS,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,price/psf,differential
0,Condo/Co-op,1150 Folsom St #4,San Francisco,94103,1149000,1200,,2000,12,1.0,1.5,57015,114448,61694,16.4%,98,957.5,-128581.96963264141
1,Condo/Co-op,1542 Howard St,San Francisco,94103,965000,1207,,1912,12,2.0,1.0,57015,114448,61694,16.4%,98,799.5028997514498,-79197.65288198157
2,Condo/Co-op,1247 Harrison St #28,San Francisco,94103,969000,1083,,2004,12,1.0,1.5,57015,114448,61694,16.4%,98,894.7368421052631,-203293.6454105496
3,Condo/Co-op,380 10th St #26,San Francisco,94103,1199000,1372,,2004,12,2.0,2.0,57015,114448,61694,16.4%,98,873.9067055393587,-131143.3443013744
4,Condo/Co-op,776 Tehama St #9,San Francisco,94103,430500,418,,2006,12,1.0,1.0,57015,114448,61694,16.4%,98,1029.9043062200958,-79994.56511818338
5,Condo/Co-op,161 Dolores St #5,San Francisco,94103,800000,700,,1914,12,1.0,1.0,57015,114448,61694,16.4%,98,1142.857142857143,51467.98568919813
6,Condo/Co-op,469 Clementina St #2,San Francisco,94103,699000,622,,1993,12,1.0,1.0,57015,114448,61694,16.4%,98,1123.7942122186496,6076.97140290169
7,Condo/Co-op,2 Mint Plz #502,San Francisco,94103,1995000,2018,,1926,12,2.0,2.0,57015,114448,61694,16.4%,98,988.6025768087216,94203.40765002277
8,Condo/Co-op,574 Natoma St #401,San Francisco,94103,490000,329,,2012,12,0.0,1.0,57015,114448,61694,16.4%,98,1489.3617021276596,-104481.5712891242
9,Single Family Residential,647 Duncan St,San Francisco,94103,7250000,5675,,2019,12,5.0,4.5,57015,114448,61694,16.4%,98,1277.5330396475772,2210134.3139346866
10,Condo/Co-op,1160 Mission St #812,San Francisco,94103,363082,662,,2008,12,1.0,1.0,57015,114448,61694,16.4%,98,548.4622356495469,-368963.99760839774
11,Townhouse,99 Rausch St #521,San Francisco,94103,1299000,834,,2018,12,1.0,1.5,57015,114448,61694,16.4%,98,1557.5539568345323,349733.1986775076
12,Condo/Co-op,160 Julian Ave #2,San Francisco,94103,849000,563,,1907,12,1.0,1.0,57015,114448,61694,16.4%,98,1507.9928952042628,225986.45782113483
