,zipcode,salesforceurl,googleplexurl,stanfordurl,incomebyzipcodeurl,walkscoreurl,traveltimetostanford,traveltimetogoogleplex,traveltimetosf,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,bike,transit,failedwalkscores,conveniencescore,shortest_travel
0,94103,"https://www.google.com/maps/dir/94103/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94103/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94103/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94103,https://www.walkscore.com/CA/94103,31,32,10,57015,114448,61694,16,97,100,96,,100,10
1,94107,"https://www.google.com/maps/dir/94107/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94107/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94107/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94107,https://www.walkscore.com/CA/94107,32,32,10,150451,193007,93088,38,96,73,65,,96,10
2,94117,"https://www.google.com/maps/dir/94117/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94117/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94117/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94117,https://www.walkscore.com/CA/94117,35,35,14,152071,201503,86117,35,96,84,74,,96,14
3,94112,"https://www.google.com/maps/dir/94112/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94112/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94112/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94112,https://www.walkscore.com/CA/94112,29,32,13,89355,115728,34344,15,95,71,73,,95,13
4,94115,"https://www.google.com/maps/dir/94115/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94115/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94115/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94115,https://www.walkscore.com/CA/94115,38,38,11,114819,163371,83646,27,98,82,87,,98,11
5,94110,"https://www.google.com/maps/dir/94110/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94110/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94110/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94110,https://www.walkscore.com/CA/94110,32,32,12,123576,166302,65610,31,99,85,99,,99,12
6,94108,"https://www.google.com/maps/dir/94108/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94108/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94108/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94108,https://www.walkscore.com/CA/94108,40,40,7,62173,100377,55302,11,100,92,62,,100,7
7,94114,"https://www.google.com/maps/dir/94114/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94114/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94114/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94114,https://www.walkscore.com/CA/94114,35,36,17,155551,211933,105246,39,95,88,61,,95,17
8,94122,"https://www.google.com/maps/dir/94122/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94122/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94122/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94122,https://www.walkscore.com/CA/94122,33,36,20,109607,139357,54038,22,84,72,59,,84,20
9,94105,"https://www.google.com/maps/dir/94105/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94105/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94105/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94105,https://www.walkscore.com/CA/94105,36,36,4,213009,255071,138902,52,95,100,62,,100,4
10,94116,"https://www.google.com/maps/dir/94116/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94116/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94116/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94116,https://www.walkscore.com/CA/94116,32,36,21,107619,155816,55140,25,78,62,62,,78,21
11,94109,"https://www.google.com/maps/dir/94109/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94109/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94109/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94109,https://www.walkscore.com/CA/94109,39,39,10,88593,134441,80359,21,100,95,79,,100,10
12,94131,"https://www.google.com/maps/dir/94131/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94131/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94131/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94131,https://www.walkscore.com/CA/94131,32,35,16,137762,183275,84071,34,71,75,58,,75,16
13,94133,"https://www.google.com/maps/dir/94133/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94133/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94133/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94133,https://www.walkscore.com/CA/94133,41,40,7,66811,115126,58218,17,98,88,69,,98,7
14,94132,"https://www.google.com/maps/dir/94132/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94132/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94132/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94132,https://www.walkscore.com/CA/94132,30,33,18,74187,101936,35562,12,17,43,45,,45,18
